號碼1, 號碼2, 號碼3, 號碼4, 號碼5 
18,24,26,35,37
4,6,11,17,34
2,3,16,22,32
1,11,20,28,36
10,12,29,32,36
7,13,22,23,30
9,13,26,34,36
10,13,24,36,37
3,7,14,26,38
9,11,19,36,39
6,9,17,24,38
16,20,21,30,31
6,8,16,19,23
3,10,23,26,37
1,3,16,17,39
5,9,16,21,35
3,10,11,13,19
1,6,7,21,23
15,17,19,28,29
23,26,34,35,36
13,16,23,37,39
12,20,23,31,37
1,2,17,18,35
14,16,20,30,37
16,20,21,22,26
5,13,23,26,27
6,12,17,28,36
4,24,25,34,37
1,5,12,18,30
1,5,12,15,26
20,23,26,27,38
3,7,14,20,34
1,2,20,23,26
3,12,14,18,34
16,18,23,32,38
1,8,9,17,22
3,13,20,27,28
5,18,21,22,27
6,7,19,20,26
10,19,22,24,26
1,17,20,27,30
1,14,19,27,28
9,19,35,37,38
5,8,10,23,30
4,16,21,32,33
1,7,26,29,34
6,14,19,24,37
9,10,14,22,38
1,8,9,18,27
21,25,27,32,39
13,32,34,36,38
5,10,23,25,39
5,10,15,16,21
7,10,16,19,24
4,6,31,36,37
5,10,11,12,26
13,17,18,24,28
1,4,11,23,32
1,5,19,22,26
4,9,13,27,28
7,25,33,35,37
21,31,32,35,36
7,11,13,25,39
3,8,14,18,32
1,7,10,23,29
11,21,30,32,38
4,10,17,27,36
11,18,22,28,35
1,11,17,29,34
10,14,19,20,35
3,8,13,23,26
8,12,22,33,35
7,9,11,22,32
1,5,10,30,31
10,12,15,32,35
10,14,15,36,38
10,12,23,34,38
2,9,20,25,35
24,28,31,33,36
6,8,12,23,25
1,17,25,36,38
10,12,17,29,35
1,10,24,35,38
2,7,9,29,35
6,16,20,25,34
2,4,18,20,34
17,22,34,37,39
6,11,13,22,23
3,8,12,20,33
6,7,17,25,37
2,7,21,22,28
7,8,23,25,31
1,4,9,29,39
16,20,23,24,35
4,19,29,37,39
5,7,8,25,26
2,8,16,22,28
5,6,10,11,13
1,5,16,17,21
12,22,24,31,35
7,12,16,22,23
8,10,23,32,35
7,17,21,32,35
12,13,19,20,31
4,13,15,29,32
20,21,23,36,39
8,19,27,29,39
3,7,13,21,22
6,7,8,17,33
19,23,26,31,34
14,15,17,28,37
11,15,17,31,36
8,14,17,21,30
13,16,17,25,37
10,28,29,31,36
2,7,28,31,39
3,15,27,33,36
9,12,18,27,37
5,8,17,27,36
13,30,31,35,37
4,9,33,34,38
6,14,22,23,31
12,14,23,24,36
3,14,25,33,37
6,7,30,32,36
21,24,26,29,32
23,24,32,35,38
1,11,19,27,38
18,23,31,32,35
4,6,30,32,35
4,19,29,33,37
1,11,14,29,36
6,12,13,15,39
1,3,10,17,24
6,12,15,20,39
3,8,19,22,38
3,5,7,11,16
1,13,14,22,33
3,18,22,27,33
3,4,13,17,25
17,25,27,33,35
14,17,27,32,36
7,17,18,21,27
8,28,31,36,39
11,13,20,29,33
1,12,33,36,39
4,10,12,36,37
3,11,31,32,39
6,12,14,28,35
5,29,31,35,36
4,12,17,20,23
17,26,31,32,35
6,17,29,33,39
6,9,15,17,24
4,6,26,28,39
19,20,28,31,38
2,5,7,26,32
8,20,23,27,29
1,20,24,32,35
10,11,19,21,39
1,11,17,25,29
22,23,27,35,37
12,13,15,30,37
9,26,28,35,38
4,7,17,29,37
10,15,18,24,25
1,12,14,18,26
7,15,23,25,31
2,7,17,18,26
2,16,21,31,37
6,7,8,9,30
9,14,22,36,38
9,16,24,32,38
1,9,16,32,38
10,17,18,20,28
1,8,12,17,31
1,5,8,16,38
3,5,27,30,35
6,12,17,18,24
13,20,21,23,25
6,9,17,27,30
4,5,17,33,35
4,24,25,28,33
5,9,24,25,36
10,20,32,34,39
4,6,25,27,29
4,7,11,18,19
2,4,8,11,22
9,12,18,22,38
8,22,23,29,31
17,20,28,30,38
1,3,7,19,30
5,25,27,35,37
3,8,18,30,37
7,10,16,24,34
3,17,19,35,37
10,11,15,16,36
8,12,19,26,38
1,5,10,31,38
18,24,29,31,33
6,11,24,29,37
8,17,20,24,27
14,15,26,31,34
3,11,32,36,39
3,18,23,32,33
2,5,12,32,37
2,14,24,36,39
4,15,28,29,35
7,12,18,19,39
4,20,27,29,35
2,8,28,37,38
8,15,27,33,35
4,9,22,26,39
1,7,15,17,38
4,7,12,28,37
4,12,20,23,27
3,8,17,25,39
4,6,12,14,25
3,6,9,32,39
2,6,17,19,38
1,3,6,19,32
7,12,16,19,33
1,17,23,30,34
1,5,12,22,34
10,11,31,35,39
10,18,29,31,34
15,18,19,20,35
5,12,22,32,36
2,3,30,33,34
4,15,16,23,30
1,14,28,29,30
3,9,28,32,35
2,3,11,19,38
6,7,19,23,35
1,10,19,28,37
9,15,19,20,25
22,26,30,31,37
5,24,25,30,39
4,8,13,18,22
15,16,26,28,38
21,23,27,36,37
6,13,20,30,36
6,18,24,26,30
2,16,22,24,29
1,5,11,17,31
4,5,11,16,33
1,29,35,38,39
11,12,25,28,30
2,8,9,18,28
10,11,20,22,34
11,21,24,31,32
1,4,11,34,36
6,21,25,29,36
4,13,22,24,34
2,14,27,31,36
6,10,32,34,39
13,20,23,30,33
14,18,20,23,39
3,9,21,33,35
17,26,27,33,34
7,12,18,25,33
2,19,22,35,38
1,12,21,25,32
5,15,21,32,34
9,11,14,28,30
2,13,24,25,32
6,13,15,18,26
13,23,25,27,34
5,9,17,24,26
13,15,17,18,35
2,19,25,32,34
1,2,8,26,37
2,20,25,32,35
1,4,7,20,32
4,12,17,22,24
3,15,22,32,38
21,24,25,26,36
8,11,23,32,36
3,5,19,20,30
23,27,28,35,36
4,10,17,24,26
10,14,16,20,24
8,19,20,24,34
14,15,16,25,28
3,5,7,15,17
1,5,6,7,24
1,7,17,29,36
2,17,20,23,39
2,15,24,26,31
13,14,32,34,36
15,16,21,27,29
5,9,23,30,38
9,13,25,28,29
8,10,11,18,28
3,5,21,27,30
3,13,16,31,33
3,19,34,35,36
11,13,33,34,35
1,6,10,19,25
4,13,20,28,35
12,18,23,25,36
14,15,21,26,33
5,9,18,28,33
21,23,32,34,38
3,5,13,16,29
6,7,16,18,25
8,15,19,29,39
7,10,20,31,37
4,7,10,13,31
14,23,34,35,36
2,3,18,23,30
8,10,18,20,27
5,11,17,27,39
4,6,7,23,36
3,7,9,36,38
2,5,11,27,30
