號碼1, 號碼2, 號碼3, 號碼4, 號碼5
6,8,10,12,25
12,14,25,30,34
8,18,29,31,36
17,26,29,36,39
10,30,35,38,39
3,6,8,23,30
6,13,30,31,34
2,8,18,22,29
23,26,31,34,35
3,14,26,29,37
4,9,26,29,31
4,8,12,23,29
4,7,11,12,29
4,6,26,28,39
6,12,18,34,39
1,3,12,28,34
5,6,15,19,25
8,12,14,28,35
4,12,13,14,22
6,8,16,19,31
1,5,15,19,20
6,10,12,33,36
2,16,19,24,27
9,18,29,32,38
8,17,18,25,36
2,3,6,23,38
16,19,23,36,38
11,12,27,30,38
1,7,19,21,31
13,15,18,22,24
3,15,16,28,31
1,13,25,26,27
13,15,17,28,37
22,32,35,38,39
4,17,25,26,34
7,27,30,31,39
5,6,16,31,34
9,12,16,28,37
4,23,24,32,37
5,17,25,35,39
9,22,25,27,31
8,12,18,20,32
14,24,30,32,38
2,17,25,29,37
2,11,16,17,37
7,11,13,17,27
8,11,12,16,30
4,6,27,38,39
5,21,31,33,38
6,8,23,27,33
26,30,32,36,37
1,4,9,24,37
8,16,17,34,35
4,9,25,32,39
1,8,19,21,37
5,9,10,17,19
15,19,22,24,39
11,26,30,38,39
8,15,33,35,39
4,7,14,22,24
2,10,23,30,35
15,18,22,24,30
9,15,25,26,33
10,21,25,37,38
5,11,17,27,32
3,7,22,30,37
5,10,18,20,37
3,12,16,22,38
2,5,17,27,37
5,12,33,36,38
8,19,27,34,37
6,10,24,33,35
6,10,11,32,39
2,5,9,10,32
16,32,36,37,39
7,13,18,25,39
2,21,26,27,35
9,10,16,21,26
6,7,22,23,33
2,13,27,31,38
3,6,21,31,38
9,11,24,37,39
10,16,31,36,39
8,18,20,27,31
6,25,30,34,36
1,5,6,37,38
4,10,11,17,38
13,14,18,26,29
3,5,17,31,36
1,9,17,31,37
4,9,16,32,33
11,17,21,31,33
15,20,33,34,39
4,19,22,29,37
2,7,26,28,32
10,14,21,27,29
1,10,16,21,24
1,5,12,34,36
2,20,21,29,33
3,13,22,32,39
7,10,11,36,39
6,8,22,32,38
10,14,20,28,31
1,3,5,27,29
5,7,26,34,35
14,23,25,26,34
1,7,24,30,32
4,5,26,28,32
3,7,27,29,34
2,4,13,23,36
11,12,25,31,37
4,5,9,27,34
14,20,21,23,25
3,12,15,27,35
5,6,7,8,24
13,25,27,36,38
5,11,14,30,38
8,20,32,34,36
16,27,33,34,36
1,10,24,28,34
10,15,25,31,39
10,14,34,35,38
8,10,16,21,34
14,16,18,20,33
6,7,13,22,29
1,18,24,25,39
1,10,14,27,37
5,12,15,20,21
5,6,7,34,36
8,18,25,27,34
4,8,9,22,37
3,7,13,23,34
1,5,16,20,29
11,18,26,29,37
3,7,8,11,29
1,12,15,23,38
2,13,15,17,29
1,8,9,19,28
8,13,19,22,26
24,29,34,36,37
1,6,21,32,34
2,11,15,18,21
9,12,24,28,39
2,9,20,29,36
1,13,33,36,39
11,25,27,34,37
2,9,23,30,38
6,10,33,34,39
11,13,20,24,30
7,10,13,14,22
5,14,15,20,26
4,12,14,28,39
5,8,21,32,33
2,10,14,17,27
3,11,20,30,36
7,8,12,22,39
13,28,33,34,39
14,26,27,29,35
5,7,8,25,30
2,14,17,21,33
12,16,25,28,30
1,4,18,24,33
1,4,15,19,37
24,25,35,36,38
1,2,9,10,32
4,6,10,19,32
12,14,20,25,37
8,16,19,21,22
1,18,22,29,30
12,15,23,29,38
2,12,20,22,35
13,18,20,23,31
9,26,27,31,39
4,9,15,24,32
2,13,31,34,37
15,18,19,26,32
6,13,33,37,38
10,13,18,37,39
1,7,13,20,26
15,18,20,30,37
3,13,19,21,35
1,3,10,15,30
3,10,11,25,29
3,9,12,30,33
7,16,20,35,38
4,9,10,15,34
8,14,29,32,34
7,10,19,28,29
3,12,15,30,39
1,13,14,30,38
6,23,24,38,39
8,23,27,31,32
17,18,26,28,33
14,23,26,33,37
2,7,9,19,28
4,15,18,27,34
6,14,23,34,38
9,14,15,23,28
6,7,24,25,36
9,11,12,27,36
2,7,19,23,28
5,14,23,29,34
5,11,23,30,32
6,7,9,24,27
1,13,17,26,31
2,4,10,13,37
13,16,33,35,36
11,14,19,30,39
1,17,19,31,34
11,15,22,25,34
6,17,18,20,37
12,16,20,21,34
4,10,23,28,29
10,24,27,36,37
6,8,14,23,31
11,13,31,35,39
6,12,31,33,39
2,16,17,21,31
3,9,18,21,39
5,8,10,17,28
1,9,12,18,20
4,14,23,25,38
3,14,21,23,36
10,24,26,36,39
6,11,17,20,21
1,4,16,25,37
1,12,18,26,32
20,26,32,35,39
4,6,10,25,38
1,3,5,28,39
14,15,19,24,34
4,11,14,17,19
10,12,27,30,39
3,14,19,20,21
1,2,8,13,37
1,2,12,13,30
9,19,21,33,38
9,12,18,26,37
3,4,19,26,29
3,18,26,34,35
8,13,16,23,29
